Date,Time,Version,Stage,Iteration,Status,Configuration,Evaluation,Computation Time
2024-10-20,19:15:21,Successive Halving,3,2,Skipped,N/A,No valid configurations
2024-10-20,19:15:21,Successive Halving,3,3,Skipped,N/A,No valid configurations
2024-10-20,19:15:21,Successive Halving,2,0,Initial configuration,"Configuration(values={
  'learner_id': 'xgboost',
  'num.impute.selected.cpo': 'impute.median',
  'repl': 3,
  'task_id': '1464',
  'trainsize': 0.7979694635389267,
  'xgboost.alpha': 0.006110236634342263,
  'xgboost.booster': 'gblinear',
  'xgboost.lambda': 0.17659490101151554,
  'xgboost.nrounds': 376,
  'xgboost.subsample': 0.31140441148013254,
})
",N/A
2024-10-20,19:15:21,Successive Halving,2,0,Initial configuration,"Configuration(values={
  'learner_id': 'svm',
  'num.impute.selected.cpo': 'impute.mean',
  'repl': 9,
  'svm.cost': 0.03477546838206131,
  'svm.degree': 5,
  'svm.kernel': 'polynomial',
  'svm.tolerance': 0.0013460607035811047,
  'task_id': '38',
  'trainsize': 0.23693983811579528,
})
",N/A
2024-10-20,19:15:21,Successive Halving,2,0,Discarded,"Configuration(values={
  'learner_id': 'svm',
  'num.impute.selected.cpo': 'impute.mean',
  'repl': 9,
  'svm.cost': 0.03477546838206131,
  'svm.degree': 5,
  'svm.kernel': 'polynomial',
  'svm.tolerance': 0.0013460607035811047,
  'task_id': '38',
  'trainsize': 0.23693983811579528,
})
",N/A
2024-10-20,19:15:21,Successive Halving,2,0,Remaining (Computation Time: 0.00s),"Configuration(values={
  'learner_id': 'svm',
  'num.impute.selected.cpo': 'impute.mean',
  'repl': 9,
  'svm.cost': 0.03477546838206131,
  'svm.degree': 5,
  'svm.kernel': 'polynomial',
  'svm.tolerance': 0.0013460607035811047,
  'task_id': '38',
  'trainsize': 0.23693983811579528,
})
",0.26543698
2024-10-20,19:15:21,Successive Halving,2,1,Discarded,"Configuration(values={
  'learner_id': 'svm',
  'num.impute.selected.cpo': 'impute.mean',
  'repl': 9,
  'svm.cost': 0.03477546838206131,
  'svm.degree': 5,
  'svm.kernel': 'polynomial',
  'svm.tolerance': 0.0013460607035811047,
  'task_id': '38',
  'trainsize': 0.23693983811579528,
})
",N/A
2024-10-20,19:15:21,Successive Halving,2,1,Skipped,N/A,No valid configurations after top_k
2024-10-20,19:15:21,Successive Halving,2,2,Skipped,N/A,No valid configurations
2024-10-20,19:15:21,Successive Halving,1,0,Initial configuration,"Configuration(values={
  'learner_id': 'svm',
  'num.impute.selected.cpo': 'impute.mean',
  'repl': 5,
  'svm.cost': 0.005884221042238929,
  'svm.gamma': 2471.681016214113,
  'svm.kernel': 'radial',
  'svm.tolerance': 0.3782767981291835,
  'task_id': '40498',
  'trainsize': 0.12667648401441473,
})
",N/A
